Name,Value,Value Type,Type,Discount Class
NADINE40,-40,percentage,Amount Off,order
NADINEFASHION,-50,percentage,Amount Off,order
ELLY40,-40,percentage,Amount Off,order
ANNESOPHIE40,-40,percentage,Amount Off,order
RAPUNZEL40,-40,percentage,Amount Off,order
NINA40,-40,percentage,Amount Off,order
ELAN40,-40,percentage,Amount Off,order
ELANHELO40,-40,percentage,Amount Off,order
ATHINA40,-40,percentage,Amount Off,order
SILLI40,-40,percentage,Amount Off,order
SILLY40,-40,percentage,Amount Off,order
SILI40,-40,percentage,Amount Off,order
SILY40,-40,percentage,Amount Off,order
JULIA40,-40,percentage,Amount Off,order
NESSA40,-40,percentage,Amount Off,order
misrapunzel40,-40,percentage,Amount Off,order
missrapunzell40,-40,percentage,Amount Off,order
missrapunzel40,-40,percentage,Amount Off,order
KIMI40,-40,percentage,Amount Off,order
SARA40,-40,percentage,Amount Off,order
SELXN40,-40,percentage,Amount Off,order
FRAU40,-40,percentage,Amount Off,order
TANJA40,-40,percentage,Amount Off,order
FRAUSEIN40,-40,percentage,Amount Off,order
LAURA40,-40,percentage,Amount Off,order
PINAR40,-40,percentage,Amount Off,order
MISSLLOPES40,-40,percentage,Amount Off,order
JENNY40,-40,percentage,Amount Off,order
LEONIE40,-40,percentage,Amount Off,order
ADINA40,-40,percentage,Amount Off,order
JANA40,-40,percentage,Amount Off,order
MISSLOPES40,-40,percentage,Amount Off,order
SILKE40,-40,percentage,Amount Off,order
TIARA40,-40,percentage,Amount Off,order
MARLEN40,-40,percentage,Amount Off,order
JOSHY40,-40,percentage,Amount Off,order
NADINE_SOBOTZIK40,-40,percentage,Amount Off,order
2NADINE40,-40,percentage,Amount Off,order
STELLA20,-20,percentage,Amount Off,order
HANNA40,-40,percentage,Amount Off,order
JOSCHY40,-40,percentage,Amount Off,order
VANESSA40,-40,percentage,Amount Off,order
NESSAROSEYT40,-40,percentage,Amount Off,order
LISA40,-40,percentage,Amount Off,order
PAULA40,-40,percentage,Amount Off,order
MICHELLESPECIAL,-40,percentage,Amount Off,order
MHULAN40,-40,percentage,Amount Off,order
MHOOLAN40,-40,percentage,Amount Off,order
LIINA40,-40,percentage,Amount Off,order
ANPAULINAS40,-40,percentage,Amount Off,order
LYNNVERONICA40,-40,percentage,Amount Off,order
IRENE40,-40,percentage,Amount Off,order
DANI40,-40,percentage,Amount Off,order
ATHINAREITER40,-40,percentage,Amount Off,order
